Pod,Region,Namespace,Window Start,Window End,Cpu Cost,Gpu Cost,Ram Cost,PV Cost,Network Cost,LoadBalancer Cost,Shared Cost,Total Cost,Cpu Efficiency,Ram Efficiency,Total Efficiency
__idle__,,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.628340,0.000000,0.046170,0.000000,0.000000,0.000000,0.000000,0.674510,0.000000,0.000000,0.000000
coredns-5d5f56f475-kcdxs,ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.021720,0.000000,0.001990,0.000000,0.000000,0.000000,0.000000,0.023710,1.204000,24.652000,3.172000
ebs-csi-controller-56c4dccdcb-b6zkl,ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.013030,0.000000,0.006820,0.000000,0.000000,0.000000,0.000000,0.019850,2.827000,27.445000,11.286000
ebs-csi-controller-56c4dccdcb-rm8g8,ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.013030,0.000000,0.006820,0.000000,0.000000,0.000000,0.000000,0.019850,6.616000,38.713000,17.645000
kubecost-prometheus-server-78f6878b66-zff6l,ap-south-1,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.000740,0.000000,0.002580,0.000000,0.000000,0.000000,0.000000,0.003330,100.000000,100.000000,100.000000
go-api-deployment-route2-85bb446767-hjnfv,ap-south-1,route2,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.000000,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000110,100.000000,100.000000,100.000000
kubecost-cost-analyzer-685cd69b5-5v4jf,ap-south-1,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.047830,0.000000,0.019400,0.000000,0.000000,0.591670,0.000000,0.658900,6.298000,593.477000,175.733000
kubecost-grafana-585668695-ww4cf,ap-south-1,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.000670,0.000000,0.003890,0.000000,0.000000,0.000000,0.000000,0.004560,100.000000,100.000000,100.000000
go-api-deployment-route2-85bb446767-lqq5v,ap-south-1,route2,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.000000,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000100,100.000000,100.000000,100.000000
kube-proxy-zx2rh,ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.021720,0.000000,0.000470,0.000000,0.000000,0.000000,0.000000,0.022190,0.236000,100.000000,2.352000
kubecost-forecasting-57947dfc5-dcl79,ap-south-1,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.043440,0.000000,0.008530,0.000000,0.000000,0.000000,0.000000,0.051960,0.268000,47.624000,8.039000
aws-node-bc69s,ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.010860,0.000000,0.001300,0.000000,0.000000,0.000000,0.000000,0.012160,6.897000,100.000000,16.881000
aws-node-v5rz9,ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.010860,0.000000,0.001570,0.000000,0.000000,0.000000,0.000000,0.012420,7.163000,100.000000,18.865000
coredns-5d5f56f475-5qfh2,ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.021720,0.000000,0.001990,0.000000,0.000000,0.000000,0.000000,0.023710,1.196000,24.811000,3.178000
ebs-csi-node-tbz4n,ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.006520,0.000000,0.003410,0.000000,0.000000,0.000000,0.000000,0.009930,2.073000,36.272000,13.824000
go-api-deployment-route1-dcbff4b58-d2br2,ap-south-1,route1,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.000000,0.000000,0.000210,0.000000,0.000000,0.000000,0.000000,0.000210,100.000000,100.000000,100.000000
ebs-csi-node-6qf47,ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.006520,0.000000,0.003410,0.000000,0.000000,0.000000,0.000000,0.009930,2.093000,32.995000,12.711000
go-api-deployment-route1-dcbff4b58-wd8mh,ap-south-1,route1,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.000000,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000110,100.000000,100.000000,100.000000
kube-proxy-ngxfx,ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.021720,0.000000,0.000510,0.000000,0.000000,0.000000,0.000000,0.022220,0.241000,100.000000,2.511000
